1106022024446954311ARQUIVOCAIXA                                      1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000780501012022202288737070103Roberta Barbosa                                                       3112196900000007805Joana dos Santos                                                      01000830.35020502202431122024000000000000000000000000788454CD34615389627972610000000
2100000000780601012022202247846254385Roberta Barbosa                                                       3112196900000007806Josefa Pereira                                                        01000216.03060502202431122024000000000000000000005555683118PP50695053625718330000000
2100000000780701012022202298533088319Maria da Silva                                                        3112196900000007807Joana dos Santos                                                      01000415.75080502202431122024000000000000000000000000983779CD13080107199130320000000
2100000000780801012022202220799696114Victor Czarnobay                                                      3112196900000007808Maria da Silva                                                        01000078.95090502202431122024000000000000000000005555291390CC14533760165725120000000
2100000000780901012022202200327209059Carlos Fabrício                                                       3112196900000007809Josefa Pereira                                                        01000187.09090502202431122024000000000000000000005555878923CD05393877891601120000000
2100000000781001012022202287495159512Josefa Pereira                                                        3112196900000007810Joana dos Santos                                                      01000109.19100502202431122024000000000000000000000000952913PP36660265905001220000000
2100000000781101012022202298432207706Alan Barbosa                                                          3112196900000007811Joana dos Santos                                                      01001093.56030502202431122024000000000000000000005555869191CC95530028385901430000000
2100000000781201012022202222770329288Maria da Silva                                                        3112196900000007812Josefa Pereira                                                        01001194.16030502202431122024000000000000000000009999610020PP44192213255820820000000
2100000000781301012022202211817955362Roberta Barbosa                                                       3112196900000007813Josefa Pereira                                                        01001002.18050502202431122024000000000000000000000000747488CC20722674068977320000000
2100000000781401012022202284305108491Josefa Pereira                                                        3112196900000007814Josefa Pereira                                                        01000082.77080502202431122024000000000000000000005555909331PP33546537529346230000000
2100000000781501012022202257436148596Victor Czarnobay                                                      3112196900000007815Maria da Silva                                                        01000785.09010502202431122024000000000000000000005555669410PP22508826330520010000000
2100000000781601012022202255189881010Joana dos Santos                                                      3112196900000007816Joana dos Santos                                                      01000774.90090502202431122024000000000000000000005555517835PP39852995672555820000000
2100000000781701012022202225073484977Cristiano Ronaldo                                                     3112196900000007817Josefa Pereira                                                        01000361.27030502202431122024000000000000000000005555239470CD55260943060411710000000
2100000000781801012022202226484194892Victor Czarnobay                                                      3112196900000007818Roberta Barbosa                                                       01000399.40030502202431122024000000000000000000005555648214PP05473911091123830000000
2100000000781901012022202211941647380Josefa Pereira                                                        3112196900000007819Roberta Barbosa                                                       01000447.43110502202431122024000000000000000000009999052108PP82551463616979620000000
2100000000782001012022202272899815065Carlos Fabrício                                                       3112196900000007820Josefa Pereira                                                        01000932.33090502202431122024000000000000000000005555479226PP11918338192147310000000
2100000000782101012022202223593735462Carlos Fabrício                                                       3112196900000007821Joana dos Santos                                                      01000242.40080502202431122024000000000000000000005555905028PP93619899152426620000000
2100000000782201012022202235610128661Josefa Pereira                                                        3112196900000007822Joana dos Santos                                                      01000913.08080502202431122024000000000000000000005555119171PP36409973702531330000000
2100000000782301012022202277634483698Maria da Silva                                                        3112196900000007823Joana dos Santos                                                      01000013.00070502202431122024000000000000000000009999014964PP02415610854160230000000
2100000000782401012022202252396121438Victor Czarnobay                                                      3112196900000007824Joana dos Santos                                                      01000934.16010502202431122024000000000000000000005555357716PP90629879915624210000000
2100000000782501012022202299701783452Josefa Pereira                                                        3112196900000007825Joana dos Santos                                                      01000424.96030502202431122024000000000000000000005555559320CC91592821197681320000000
2100000000782601012022202254119377458Pedro Monteiro                                                        3112196900000007826Maria da Silva                                                        01000618.32070502202431122024000000000000000000009999263316CD36248074844518330000000
2100000000782701012022202218772503860Alan Barbosa                                                          3112196900000007827Josefa Pereira                                                        01000865.49030502202431122024000000000000000000005555595138PP34631061538180410000000
2100000000782801012022202234676029582Roberta Barbosa                                                       3112196900000007828Maria da Silva                                                        01000927.35070502202431122024000000000000000000005555013130CD45909584205644110000000
2100000000782901012022202226639321471Maria da Silva                                                        3112196900000007829Maria da Silva                                                        01000222.50040502202431122024000000000000000000000000792084PP65485381891318120000000
2100000000783001012022202286324626885Cristiano Ronaldo                                                     3112196900000007830Roberta Barbosa                                                       01000717.53090502202431122024000000000000000000000000822972PP98052162171425810000000
2100000000783101012022202253240515786Cristiano Ronaldo                                                     3112196900000007831Maria da Silva                                                        01000938.52040502202431122024000000000000000000005555046779CC35174854339692630000000
2100000000783201012022202239633978690Victor Czarnobay                                                      3112196900000007832Josefa Pereira                                                        01000693.91100502202431122024000000000000000000009999690545CC34760832579504510000000
2100000000783301012022202227117377133Maria da Silva                                                        3112196900000007833Maria da Silva                                                        01001125.89070502202431122024000000000000000000000000090785PP17589551579951610000000
2100000000783401012022202244194925353Roberta Barbosa                                                       3112196900000007834Maria da Silva                                                        01001046.09080502202431122024000000000000000000005555010626CC19760925720516430000000
2100000000783501012022202258616151342Joana dos Santos                                                      3112196900000007835Josefa Pereira                                                        01001096.78110502202431122024000000000000000000005555594198PP42130226214029010000000
2100000000783601012022202206863420511Victor Czarnobay                                                      3112196900000007836Josefa Pereira                                                        01000274.23090502202431122024000000000000000000005555537330CC78976855720022330000000
2100000000783701012022202211513731690Joana dos Santos                                                      3112196900000007837Roberta Barbosa                                                       01000485.22040502202431122024000000000000000000005555515952PP86089557077058520000000
2100000000783801012022202282244296571Roberta Barbosa                                                       3112196900000007838Maria da Silva                                                        01000771.65120502202431122024000000000000000000009999176494CC56449958183853720000000
2100000000783901012022202260968369414Josefa Pereira                                                        3112196900000007839Joana dos Santos                                                      01000555.28120502202431122024000000000000000000005555427230PP03228623395810810000000
2100000000784001012022202253361406197Roberta Barbosa                                                       3112196900000007840Roberta Barbosa                                                       01000511.63070502202431122024000000000000000000005555322571PP12783587812163710000000
2100000000784101012022202238261156413Alan Barbosa                                                          3112196900000007841Joana dos Santos                                                      01000923.03120502202431122024000000000000000000009999698804CC53712222087959130000000
2100000000784201012022202239804549045Maria da Silva                                                        3112196900000007842Roberta Barbosa                                                       01000012.10020502202431122024000000000000000000005555805647CC98827794777159120000000
2100000000784301012022202220841423657Alan Barbosa                                                          3112196900000007843Maria da Silva                                                        01000650.98020502202431122024000000000000000000005555878177PP30735614293549820000000
2100000000784401012022202223152439721Josefa Pereira                                                        3112196900000007844Maria da Silva                                                        01000563.25010502202431122024000000000000000000000000204615CC84313600165516520000000
2100000000784501012022202270359400416Josefa Pereira                                                        3112196900000007845Josefa Pereira                                                        01000887.35070502202431122024000000000000000000005555345030PP28384991818485130000000
2100000000784601012022202251108834801Pedro Monteiro                                                        3112196900000007846Josefa Pereira                                                        01000458.75110502202431122024000000000000000000000000755077CC13651282283557720000000
2100000000784701012022202281416015131Carlos Fabrício                                                       3112196900000007847Joana dos Santos                                                      01001075.73020502202431122024000000000000000000000000835968CC60706727241996410000000
2100000000784801012022202228700344577Cristiano Ronaldo                                                     3112196900000007848Josefa Pereira                                                        01001175.89070502202431122024000000000000000000005555063164PP14575277029477220000000
2100000000784901012022202255044447530Roberta Barbosa                                                       3112196900000007849Maria da Silva                                                        01001147.86050502202431122024000000000000000000009999736809PP18292560201673130000000
2100000000785001012022202205658649706Cristiano Ronaldo                                                     3112196900000007850Joana dos Santos                                                      01000649.00110502202431122024000000000000000000005555819294CD01475491754446210000000
2100000000785101012022202254546901050Alan Barbosa                                                          3112196900000007851Joana dos Santos                                                      01000391.56020502202431122024000000000000000000005555476642CD36334918386991020000000
2100000000785201012022202283550639439Carlos Fabrício                                                       3112196900000007852Maria da Silva                                                        01000555.17050502202431122024000000000000000000009999903297PP72801427470535610000000
2100000000785301012022202208135238848Cristiano Ronaldo                                                     3112196900000007853Roberta Barbosa                                                       01001149.08040502202431122024000000000000000000009999008918CC38915025725751730000000
2100000000785401012022202233045159912Joana dos Santos                                                      3112196900000007854Josefa Pereira                                                        01001112.46110502202431122024000000000000000000009999837197CC99082591560899720000000
2100000000785501012022202217933430883Maria da Silva                                                        3112196900000007855Maria da Silva                                                        01000377.58070502202431122024000000000000000000005555595318CD67322726351128120000000
2100000000785601012022202270899509193Joana dos Santos                                                      3112196900000007856Joana dos Santos                                                      01000424.28110502202431122024000000000000000000005555035695PP42825396298873830000000
2100000000785701012022202228624968262Victor Czarnobay                                                      3112196900000007857Joana dos Santos                                                      01000876.40120502202431122024000000000000000000005555765204PP95217760610143430000000
2100000000785801012022202214839577457Roberta Barbosa                                                       3112196900000007858Josefa Pereira                                                        01001021.41080502202431122024000000000000000000005555081952PP52709086651864220000000
2100000000785901012022202250435808247Pedro Monteiro                                                        3112196900000007859Joana dos Santos                                                      01001207.58070502202431122024000000000000000000000000910757PP85263308260912120000000
2100000000786001012022202290744892724Roberta Barbosa                                                       3112196900000007860Roberta Barbosa                                                       01001026.06070502202431122024000000000000000000005555786636PP98144054346002710000000
2100000000786101012022202238225176531Roberta Barbosa                                                       3112196900000007861Maria da Silva                                                        01000938.75030502202431122024000000000000000000000000138366CC48209117908042210000000
2100000000786201012022202214712850797Alan Barbosa                                                          3112196900000007862Roberta Barbosa                                                       01001117.91010502202431122024000000000000000000000000566564PP83400001380803510000000
2100000000786301012022202244486646844Carlos Fabrício                                                       3112196900000007863Roberta Barbosa                                                       01000579.06040502202431122024000000000000000000000000405305CC80917623716744620000000
2100000000786401012022202263046163313Carlos Fabrício                                                       3112196900000007864Maria da Silva                                                        01000314.53050502202431122024000000000000000000000000182556CD19932046500094810000000
2100000000786501012022202262004434180Alan Barbosa                                                          3112196900000007865Maria da Silva                                                        01001040.22070502202431122024000000000000000000005555404066PP73689976333659210000000
2100000000786601012022202264840703963Pedro Monteiro                                                        3112196900000007866Maria da Silva                                                        01000099.78020502202431122024000000000000000000005555273113PP72659481668927310000000
2100000000786701012022202257088917945Carlos Fabrício                                                       3112196900000007867Josefa Pereira                                                        01000355.20010502202431122024000000000000000000009999924682CC60229789456586620000000
2100000000786801012022202260057165840Alan Barbosa                                                          3112196900000007868Maria da Silva                                                        01001088.98080502202431122024000000000000000000005555019839CC34681040534683620000000
2100000000786901012022202286839942583Pedro Monteiro                                                        3112196900000007869Joana dos Santos                                                      01000554.41050502202431122024000000000000000000000000186159CC27391433707705510000000
2100000000787001012022202283962707118Alan Barbosa                                                          3112196900000007870Maria da Silva                                                        01000097.58070502202431122024000000000000000000005555662295PP66624207449079520000000
2100000000787101012022202263116952373Josefa Pereira                                                        3112196900000007871Joana dos Santos                                                      01000208.40070502202431122024000000000000000000000000537961CC14413358474829030000000
2100000000787201012022202224248772594Josefa Pereira                                                        3112196900000007872Maria da Silva                                                        01000658.89050502202431122024000000000000000000005555931940CC36455982564557620000000
2100000000787301012022202202464055020Pedro Monteiro                                                        3112196900000007873Maria da Silva                                                        01000283.96060502202431122024000000000000000000005555929074CD72952289926854920000000
2100000000787401012022202254126951417Alan Barbosa                                                          3112196900000007874Maria da Silva                                                        01000455.84060502202431122024000000000000000000000000380619CD49323179098211420000000
2100000000787501012022202223451835008Maria da Silva                                                        3112196900000007875Josefa Pereira                                                        01000683.90020502202431122024000000000000000000005555331825CC15272564591826320000000
2100000000787601012022202201479942865Carlos Fabrício                                                       3112196900000007876Maria da Silva                                                        01000742.08070502202431122024000000000000000000000000942210PP67439537726367530000000
2100000000787701012022202281945613399Josefa Pereira                                                        3112196900000007877Roberta Barbosa                                                       01001078.22100502202431122024000000000000000000000000026654CC86578340593533630000000
2100000000787801012022202250947252012Carlos Fabrício                                                       3112196900000007878Joana dos Santos                                                      01000289.59060502202431122024000000000000000000005555570197PP33004463999804610000000
2100000000787901012022202225963997171Alan Barbosa                                                          3112196900000007879Maria da Silva                                                        01000271.41090502202431122024000000000000000000005555931569PP73760594931156120000000
2100000000788001012022202227668035920Carlos Fabrício                                                       3112196900000007880Roberta Barbosa                                                       01000627.08030502202431122024000000000000000000005555449809CD47845701557453730000000
2100000000788101012022202211030811933Pedro Monteiro                                                        3112196900000007881Joana dos Santos                                                      01000132.43080502202431122024000000000000000000000000879179CD80393074928986110000000
2100000000788201012022202298929534555Maria da Silva                                                        3112196900000007882Maria da Silva                                                        01000835.99020502202431122024000000000000000000000000704635CC31375359462678320000000
2100000000788301012022202283346162322Alan Barbosa                                                          3112196900000007883Joana dos Santos                                                      01000010.18060502202431122024000000000000000000005555938413CC74135636567224510000000
2100000000788401012022202289862356154Maria da Silva                                                        3112196900000007884Maria da Silva                                                        01000143.33030502202431122024000000000000000000005555928187CD27695301472689130000000
2100000000788501012022202297110510822Joana dos Santos                                                      3112196900000007885Roberta Barbosa                                                       01001178.84050502202431122024000000000000000000005555121584CC21035245398675530000000
2100000000788601012022202214081073830Cristiano Ronaldo                                                     3112196900000007886Josefa Pereira                                                        01000435.35080502202431122024000000000000000000009999765471CD54524068006797510000000
2100000000788701012022202276688535051Victor Czarnobay                                                      3112196900000007887Josefa Pereira                                                        01000194.00090502202431122024000000000000000000000000914661PP01312641484439330000000
2100000000788801012022202235853117716Joana dos Santos                                                      3112196900000007888Roberta Barbosa                                                       01000516.49070502202431122024000000000000000000005555455900CD12207723325238020000000
2100000000788901012022202205320275727Pedro Monteiro                                                        3112196900000007889Roberta Barbosa                                                       01000400.41080502202431122024000000000000000000005555360387CC54203260094496720000000
2100000000789001012022202291937123228Cristiano Ronaldo                                                     3112196900000007890Josefa Pereira                                                        01000993.59070502202431122024000000000000000000005555517893CC59418044436355220000000
2100000000789101012022202228544708914Joana dos Santos                                                      3112196900000007891Roberta Barbosa                                                       01000619.15040502202431122024000000000000000000000000581857PP25264461471713520000000
2100000000789201012022202222108757485Carlos Fabrício                                                       3112196900000007892Joana dos Santos                                                      01001141.99070502202431122024000000000000000000009999992791CD52556478964689130000000
2100000000789301012022202227373665001Josefa Pereira                                                        3112196900000007893Maria da Silva                                                        01000357.71020502202431122024000000000000000000009999808117CD52744745596015020000000
2100000000789401012022202220257875955Maria da Silva                                                        3112196900000007894Roberta Barbosa                                                       01001059.18070502202431122024000000000000000000000000968438PP56930905104338420000000
2100000000789501012022202287664580157Roberta Barbosa                                                       3112196900000007895Joana dos Santos                                                      01000019.18010502202431122024000000000000000000005555091972PP29694120804063220000000
2100000000789601012022202253300992754Josefa Pereira                                                        3112196900000007896Josefa Pereira                                                        01000699.39100502202431122024000000000000000000000000745004CD20057123537216420000000
2100000000789701012022202242537159422Victor Czarnobay                                                      3112196900000007897Maria da Silva                                                        01000412.31050502202431122024000000000000000000009999116847CD84418638283975630000000
2100000000789801012022202294873851757Alan Barbosa                                                          3112196900000007898Maria da Silva                                                        01000090.38080502202431122024000000000000000000009999040842CC03577821419395030000000
2100000000789901012022202213934168867Carlos Fabrício                                                       3112196900000007899Maria da Silva                                                        01001007.62050502202431122024000000000000000000000000090242CD49630025971447510000000
2100000000790001012022202238983251631Alan Barbosa                                                          3112196900000007900Roberta Barbosa                                                       01000921.87040502202431122024000000000000000000009999964572CC03230707931677530000000
2100000000790101012022202255340867204Joana dos Santos                                                      3112196900000007901Roberta Barbosa                                                       01000174.46090502202431122024000000000000000000000000405986PP03488364361014830000000
2100000000790201012022202236000496602Joana dos Santos                                                      3112196900000007902Roberta Barbosa                                                       01000612.30060502202431122024000000000000000000005555745258CC85391784401446120000000
2100000000790301012022202261852915841Maria da Silva                                                        3112196900000007903Maria da Silva                                                        01000080.49090502202431122024000000000000000000005555688090CD32693767599575030000000
2100000000790401012022202264248380629Victor Czarnobay                                                      3112196900000007904Maria da Silva                                                        01000801.66110502202431122024000000000000000000009999225420PP93421710849553020000000
2100000000790501012022202252393960015Victor Czarnobay                                                      3112196900000007905Josefa Pereira                                                        01000034.14030502202431122024000000000000000000005555775034PP37108062536417220000000
2100000000790601012022202234737942398Victor Czarnobay                                                      3112196900000007906Joana dos Santos                                                      01000652.58090502202431122024000000000000000000005555781632CD68459654056752210000000
2100000000790701012022202287596448630Cristiano Ronaldo                                                     3112196900000007907Roberta Barbosa                                                       01000485.39060502202431122024000000000000000000009999849759CD48767465047137910000000
2100000000790801012022202248477201175Cristiano Ronaldo                                                     3112196900000007908Josefa Pereira                                                        01001023.54040502202431122024000000000000000000005555132796PP14014295476772310000000
2100000000790901012022202286761973190Maria da Silva                                                        3112196900000007909Roberta Barbosa                                                       01000819.63090502202431122024000000000000000000005555071952CD38494643713315830000000
2100000000791001012022202269594966304Josefa Pereira                                                        3112196900000007910Maria da Silva                                                        01000462.64050502202431122024000000000000000000009999778036CC20593234082963130000000
2100000000791101012022202221725303199Cristiano Ronaldo                                                     3112196900000007911Maria da Silva                                                        01001014.58070502202431122024000000000000000000005555566784CC62599145698880830000000
2100000000791201012022202294975552853Alan Barbosa                                                          3112196900000007912Joana dos Santos                                                      01001155.36120502202431122024000000000000000000005555627986CC53556277330317530000000
2100000000791301012022202216945258389Josefa Pereira                                                        3112196900000007913Maria da Silva                                                        01000677.84020502202431122024000000000000000000005555529181CD52804133385223030000000
2100000000791401012022202298908157292Victor Czarnobay                                                      3112196900000007914Josefa Pereira                                                        01000376.62090502202431122024000000000000000000005555780926CD82119619538511410000000
2100000000791501012022202213727869102Victor Czarnobay                                                      3112196900000007915Roberta Barbosa                                                       01000731.75030502202431122024000000000000000000005555123556PP83388573411725720000000
2100000000791601012022202245309888344Cristiano Ronaldo                                                     3112196900000007916Maria da Silva                                                        01000006.22010502202431122024000000000000000000009999582828PP87223376286999110000000
2100000000791701012022202200302628272Maria da Silva                                                        3112196900000007917Joana dos Santos                                                      01000724.77120502202431122024000000000000000000000000094206CC11574658337669310000000
2100000000791801012022202268818310193Maria da Silva                                                        3112196900000007918Roberta Barbosa                                                       01001131.00060502202431122024000000000000000000000000169880CC30778304275567510000000
2100000000791901012022202296602636875Pedro Monteiro                                                        3112196900000007919Josefa Pereira                                                        01000662.24120502202431122024000000000000000000005555451003PP46771263411877210000000
2100000000792001012022202258692818109Joana dos Santos                                                      3112196900000007920Roberta Barbosa                                                       01000533.53080502202431122024000000000000000000009999701010CC28293388026079410000000
2100000000792101012022202238858684884Victor Czarnobay                                                      3112196900000007921Maria da Silva                                                        01000696.56090502202431122024000000000000000000005555061292PP60787311517967530000000
2100000000792201012022202272156117802Pedro Monteiro                                                        3112196900000007922Josefa Pereira                                                        01001182.03020502202431122024000000000000000000005555280173CC08393088461463930000000
2100000000792301012022202289984711016Joana dos Santos                                                      3112196900000007923Joana dos Santos                                                      01000845.54070502202431122024000000000000000000009999785043CC60837587977410010000000
2100000000792401012022202229027023856Roberta Barbosa                                                       3112196900000007924Maria da Silva                                                        01000919.31050502202431122024000000000000000000005555853828PP77858418110759520000000
2100000000792501012022202231735155663Pedro Monteiro                                                        3112196900000007925Joana dos Santos                                                      01000169.04100502202431122024000000000000000000009999089654CC16693607495964720000000
2100000000792601012022202224789081985Cristiano Ronaldo                                                     3112196900000007926Joana dos Santos                                                      01000115.55010502202431122024000000000000000000005555820865PP95577049585840830000000
2100000000792701012022202244048458828Roberta Barbosa                                                       3112196900000007927Josefa Pereira                                                        01000342.06060502202431122024000000000000000000000000448732CC83817967262225130000000
2100000000792801012022202208965857533Joana dos Santos                                                      3112196900000007928Josefa Pereira                                                        01000794.87070502202431122024000000000000000000005555601140CD37089097580059930000000
2100000000792901012022202213402376027Roberta Barbosa                                                       3112196900000007929Josefa Pereira                                                        01000815.48060502202431122024000000000000000000000000724976CD28656285868673730000000
2100000000793001012022202296332933853Pedro Monteiro                                                        3112196900000007930Maria da Silva                                                        01000478.86090502202431122024000000000000000000000000245126CC75787199839732130000000
2100000000793101012022202230828656268Pedro Monteiro                                                        3112196900000007931Josefa Pereira                                                        01001181.57060502202431122024000000000000000000005555915343PP54468398819602910000000
2100000000793201012022202221162814623Maria da Silva                                                        3112196900000007932Josefa Pereira                                                        01000806.37010502202431122024000000000000000000000000380032CD32709995937560920000000
2100000000793301012022202250502675080Joana dos Santos                                                      3112196900000007933Roberta Barbosa                                                       01000310.96100502202431122024000000000000000000000000490164CC70827708054099010000000
2100000000793401012022202243119136904Carlos Fabrício                                                       3112196900000007934Josefa Pereira                                                        01001176.81060502202431122024000000000000000000009999634819PP46669718182395020000000
2100000000793501012022202241000622891Maria da Silva                                                        3112196900000007935Roberta Barbosa                                                       01000634.61110502202431122024000000000000000000000000251653PP30837193549853920000000
2100000000793601012022202280766046314Roberta Barbosa                                                       3112196900000007936Josefa Pereira                                                        01000454.93070502202431122024000000000000000000000000385907PP37034691835598420000000
2100000000793701012022202249861384753Maria da Silva                                                        3112196900000007937Joana dos Santos                                                      01000976.62050502202431122024000000000000000000000000300145PP11444422653543630000000
2100000000793801012022202241356596367Cristiano Ronaldo                                                     3112196900000007938Maria da Silva                                                        01000410.32070502202431122024000000000000000000000000895700PP16955098458564420000000
2100000000793901012022202205665708354Pedro Monteiro                                                        3112196900000007939Roberta Barbosa                                                       01000036.97040502202431122024000000000000000000000000754441PP43155265560639720000000
2100000000794001012022202258981095761Carlos Fabrício                                                       3112196900000007940Roberta Barbosa                                                       01000885.64020502202431122024000000000000000000000000854031CC39815736645503030000000
2100000000794101012022202259651358321Victor Czarnobay                                                      3112196900000007941Roberta Barbosa                                                       01000075.18090502202431122024000000000000000000000000796349PP56587423225946820000000
2100000000794201012022202224914297127Josefa Pereira                                                        3112196900000007942Roberta Barbosa                                                       01001064.50050502202431122024000000000000000000009999326998PP43287083776613330000000
2100000000794301012022202240570937071Roberta Barbosa                                                       3112196900000007943Roberta Barbosa                                                       01001141.22120502202431122024000000000000000000005555682281PP67004383383131810000000
2100000000794401012022202200202527500Carlos Fabrício                                                       3112196900000007944Roberta Barbosa                                                       01001137.14050502202431122024000000000000000000005555875493PP00326523444866510000000
2100000000794501012022202205570194131Roberta Barbosa                                                       3112196900000007945Josefa Pereira                                                        01000554.52040502202431122024000000000000000000005555960036CD05559728293167030000000
2100000000794601012022202220734137539Josefa Pereira                                                        3112196900000007946Roberta Barbosa                                                       01000739.19020502202431122024000000000000000000009999437912PP19494081498287220000000
2100000000794701012022202247928007349Pedro Monteiro                                                        3112196900000007947Maria da Silva                                                        01000268.97100502202431122024000000000000000000009999992506CC51732221658457130000000
2100000000794801012022202222846546669Alan Barbosa                                                          3112196900000007948Josefa Pereira                                                        01001080.37090502202431122024000000000000000000000000375945CC47066032729793330000000
2100000000794901012022202235544451502Alan Barbosa                                                          3112196900000007949Joana dos Santos                                                      01000951.93120502202431122024000000000000000000005555368768PP13825904828739930000000
2100000000795001012022202267952607242Carlos Fabrício                                                       3112196900000007950Roberta Barbosa                                                       01000046.22040502202431122024000000000000000000000000933502CC44871679857870330000000
2100000000795101012022202255527627886Victor Czarnobay                                                      3112196900000007951Joana dos Santos                                                      01000035.08100502202431122024000000000000000000009999336204CC62583194506869920000000
2100000000795201012022202206327044766Roberta Barbosa                                                       3112196900000007952Josefa Pereira                                                        01001159.15080502202431122024000000000000000000009999836550PP40991253565060420000000
2100000000795301012022202254622432667Alan Barbosa                                                          3112196900000007953Roberta Barbosa                                                       01000673.62030502202431122024000000000000000000005555679123PP05856532060382820000000
2100000000795401012022202252006929480Pedro Monteiro                                                        3112196900000007954Maria da Silva                                                        01000825.16070502202431122024000000000000000000005555648456PP79561366792813020000000
2100000000795501012022202224067296636Cristiano Ronaldo                                                     3112196900000007955Josefa Pereira                                                        01000400.62110502202431122024000000000000000000005555614131CD60739625532227210000000
2100000000795601012022202231591364487Pedro Monteiro                                                        3112196900000007956Maria da Silva                                                        01001120.36080502202431122024000000000000000000000000735400CD25973654610472730000000
2100000000795701012022202268967358489Cristiano Ronaldo                                                     3112196900000007957Joana dos Santos                                                      01000992.91010502202431122024000000000000000000005555776515CC30964063770522320000000
2100000000795801012022202216237135491Josefa Pereira                                                        3112196900000007958Roberta Barbosa                                                       01000846.51090502202431122024000000000000000000000000645257PP30503654472778730000000
2100000000795901012022202266143126767Cristiano Ronaldo                                                     3112196900000007959Josefa Pereira                                                        01000720.83070502202431122024000000000000000000005555689707CD27296201850622010000000
2100000000796001012022202216074853269Victor Czarnobay                                                      3112196900000007960Josefa Pereira                                                        01001086.77120502202431122024000000000000000000005555617874PP81752292236302810000000
2100000000796101012022202247980991093Maria da Silva                                                        3112196900000007961Joana dos Santos                                                      01000585.56030502202431122024000000000000000000005555849580CC60910232352351720000000
2100000000796201012022202211523592200Alan Barbosa                                                          3112196900000007962Josefa Pereira                                                        01000618.76060502202431122024000000000000000000005555570051CC21393741553894110000000
2100000000796301012022202251242267659Roberta Barbosa                                                       3112196900000007963Maria da Silva                                                        01000067.71010502202431122024000000000000000000005555661154PP11243887977942610000000
2100000000796401012022202243976966682Roberta Barbosa                                                       3112196900000007964Joana dos Santos                                                      01000512.23120502202431122024000000000000000000009999711428PP60809779998247710000000
2100000000796501012022202239467120682Cristiano Ronaldo                                                     3112196900000007965Roberta Barbosa                                                       01000650.65100502202431122024000000000000000000000000922208PP33339353973992530000000
